Repository's Location,Branch,Author's GitHub ID, Author's Email, Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/CS2113-AY1819S2-M11-1/main.git,master,huyidi,,HU ...IDI,huyidi,
https://github.com/CS2113-AY1819S2-M11-1/main.git,master,E0176106,,LEE...TIN,E0176106,
https://github.com/CS2113-AY1819S2-M11-1/main.git,master,yingrong1996,,LEE...ONG,yingrong1996,
https://github.com/CS2113-AY1819S2-M11-1/main.git,master,warheade,,WAN...NAN,warheade,
https://github.com/CS2113-AY1819S2-M11-2/main.git,master,khairulhazril,,KHA...IRI,khairulhazril,
https://github.com/CS2113-AY1819S2-M11-2/main.git,master,nicholasleeeee,,LEE...LAS,nicholasleeeee,
https://github.com/CS2113-AY1819S2-M11-2/main.git,master,Shengkok,,LEW...KOK,Shengkok,
https://github.com/CS2113-AY1819S2-M11-2/main.git,master,Justin-Ong,,ONG...TIN,Justin-Ong,
https://github.com/CS2113-AY1819S2-M11-3/main.git,master,dannong,,DAN...YUN,dannong,
https://github.com/CS2113-AY1819S2-M11-3/main.git,master,jemine1998,,JEM...KAN,jemine1998,
https://github.com/CS2113-AY1819S2-M11-3/main.git,master,wanchinglim,,LIM...ING,wanchinglim,
https://github.com/CS2113-AY1819S2-T08-1/main.git,master,ndhuu,,NGU...HUU,ndhuu,
https://github.com/CS2113-AY1819S2-T08-1/main.git,master,articstranger,,WON...EMY,articstranger,
https://github.com/CS2113-AY1819S2-T08-2/main.git,master,wongyuqi,,WON... QI,wongyuqi,
https://github.com/CS2113-AY1819S2-T08-1/main.git,master,quinnzzzzz,,ZHA... RU,quinnzzzzz,
https://github.com/CS2113-AY1819S2-T08-2/main.git,master,weizhonglauw,,LAU...ONG,weizhonglauw,
https://github.com/CS2113-AY1819S2-T08-1/main.git,master,swalahlah,,LIO...HUI,swalahlah,
https://github.com/CS2113-AY1819S2-T08-2/main.git,master,yongjia96,,PAN...JIA,yongjia96,
https://github.com/CS2113-AY1819S2-T08-2/main.git,master,jayrometan,,TAN...OME,jayrometan,
https://github.com/CS2113-AY1819S2-T08-3/main.git,master,macchazuki,,JUL...REN,macchazuki,
https://github.com/CS2113-AY1819S2-T08-3/main.git,master,dingheng4448,,LIM...ENG,dingheng4448,
https://github.com/CS2113-AY1819S2-T08-3/main.git,master,marcus-pzj,,MAR...JIE,marcus-pzj,
https://github.com/CS2113-AY1819S2-T08-3/main.git,master,seanieyap,,SEA...ONG,seanieyap,
https://github.com/CS2113-AY1819S2-T08-4/main.git,master,weizhang05,,CHA...ANG,weizhang05,
https://github.com/CS2113-AY1819S2-T08-4/main.git,master,tantantan277,,PHA...TAN,tantantan277,
https://github.com/CS2113-AY1819S2-T08-4/main.git,master,shanseet,,SHA...ING,shanseet,
https://github.com/CS2113-AY1819S2-T08-4/main.git,master,ssunil3232,,SON...NIL,ssunil3232,
https://github.com/CS2113-AY1819S2-T09-1/main.git,master,truegitnovice,,AHN...GYU,truegitnovice,
https://github.com/CS2113-AY1819S2-T09-1/main.git,master,WendyBaiYunwei,,BAI...WEI,WendyBaiYunwei,
https://github.com/CS2113-AY1819S2-T09-1/main.git,master,lycjackie,,LEE...HOY,lycjackie,
https://github.com/CS2113-AY1819S2-T09-1/main.git,master,Creastery,,NGO...LIN,Creastery,
https://github.com/CS2113-AY1819S2-T09-1/main.git,master,chyeo,,YEO...ONG,chyeo,
https://github.com/CS2113-AY1819S2-T09-2/main.git,master,cheahzk,,CHE...ANG,cheahzk,
